,film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,fulltext,category_name,amount,name,actors
14,12,Alaska Phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,1,6,0.99,136,22.99,PG,"['Commentaries', 'Deleted Scenes']",'alaska':1 'australia':19 'boy':17 'chef':12 'fanci':4 'hunter':8 'must':14 'pastri':11 'phantom':2 'saga':5 'vanquish':15,Music,37.77,English             ,"Val Bolger, Burt Posey, Sidney Crowe, Sylvester Dern, Albert Johansson, Gene Mckellen, Jeff Silverstone"
15,213,Date Speed,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006,1,4,0.99,104,19.99,R,['Commentaries'],'compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4,Family,41.88,English             ,"Karl Berry, Kevin Bloom, Jude Cruise, Rip Winslet"
16,13,Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,1,4,4.99,150,21.99,PG,"['Deleted Scenes', 'Behind the Scenes']",'action':5 'action-pack':4 'ali':1 'battl':16 'canadian':21 'crocodil':13 'dentist':10 'drama':7 'feminist':18 'forev':2 'must':15 'pack':6 'rocki':22,Horror,54.910000000000004,English             ,"Cary Mcconaughey, Christopher Berry, Kenneth Torn, Morgan Mcdormand, Jon Chase"
17,15,Alien Center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,1,5,2.99,46,10.99,NC-17,"['Trailers', 'Commentaries', 'Behind the Scenes']",'alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12,Foreign,84.80000000000001,English             ,"Burt Dukakis, Kenneth Paltrow, Sidney Crowe, Renee Tracy, Humphrey Willis, Mena Hopper"
18,16,Alley Evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,1,6,2.99,180,23.99,NC-17,"['Trailers', 'Commentaries']",'alley':1 'astronaut':18 'battl':16 'compos':13 'drama':7 'evolut':2 'fast':5 'fast-pac':4 'must':15 'new':20 'orlean':21 'pace':6 'robot':10,Foreign,46.870000000000005,English             ,"Karl Berry, Jude Cruise, Albert Johansson, Gregory Gooding, John Suvari"
19,17,Alone Trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,3,0.99,82,14.99,R,"['Trailers', 'Behind the Scenes']",'abandon':22 'alon':1 'boat':19 'charact':7 'compos':11 'dog':14 'fast':5 'fast-pac':4 'fun':23 'hous':24 'must':16 'outgun':17 'pace':6 'studi':8 'trip':2,Music,61.83,English             ,"Ed Chase, Karl Berry, Uma Wood, Woody Jolie, Spencer Depp, Chris Depp, Laurence Bullock, Renee Ball"
20,18,Alter Victory,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,1,6,0.99,57,27.99,PG-13,"['Trailers', 'Behind the Scenes']",'agent':17 'alter':1 'canadian':20 'compos':8 'drama':5 'feminist':11 'meet':14 'must':13 'rocki':21 'secret':16 'thought':4 'victori':2,Animation,30.8,English             ,"Reese Kilmer, Jada Ryder, Angela Witherspoon, Oprah Kilmer"
21,19,Amadeus Holy,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,6,0.99,113,20.99,PG,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'amadeus':1 'baloon':20 'battl':15 'display':5 'emot':4 'holi':2 'man':17 'must':14 'pioneer':8 'technic':11 'writer':12,Action,32.8,English             ,"Johnny Lollobrigida, Julia Mcqueen, Val Bolger, Kirk Jovovich, James Pitt, Penelope Cronyn"
22,20,Amelie Hellfighters,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006,1,4,4.99,79,23.99,R,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'ameli':1 'baloon':19 'bore':4 'conquer':14 'drama':5 'hellfight':2 'must':13 'squirrel':11 'student':16 'woman':8,Music,67.9,English             ,"Carmen Hunt, Walter Torn, Ed Mansfield, Ewan Gooding, Ian Tandy, Laura Brody"
23,21,American Circus,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,3,4.99,129,17.99,R,"['Commentaries', 'Behind the Scenes']",'administr':17 'american':1 'astronaut':11 'circus':2 'databas':16 'drama':5 'face':14 'girl':8 'insight':4 'must':13 'shark':20 'tank':21,Action,146.81,English             ,"Kevin Bloom, Rip Crawford, Sidney Crowe, Warren Jackman, Frances Tomei"
24,22,Amistad Midsummer,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,1,6,2.99,85,10.99,G,"['Commentaries', 'Behind the Scenes']",'amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18,New,70.79,English             ,"Cary Mcconaughey, Daryl Wahlberg, Salma Nolte, Scarlett Bening"
25,23,Anaconda Confessions,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,3,0.99,92,9.99,R,"['Trailers', 'Deleted Scenes']","'anaconda':1 'australia':18 'confess':2 'dentist':8,11 'display':5 'fight':14 'girl':16 'lacklustur':4 'must':13",Animation,51.82,English             ,"Penelope Guiness, Jennifer Davis, Elvis Marx, Jayne Nolte, Humphrey Willis"
26,24,Analyze Hoosiers,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,1,6,2.99,181,19.99,R,"['Trailers', 'Behind the Scenes']",'analyz':1 'chef':12 'desert':21 'display':5 'explor':8 'feminist':17 'hoosier':2 'must':14 'overcom':15 'pastri':11 'sahara':20 'thought':4,Horror,55.86,English             ,"Tom Mckellen, Tom Miranda, Jessica Bailey, Greta Malden, Ed Guiness"
27,25,Angels Life,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,3,2.99,74,15.99,G,['Trailers'],'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8,New,103.80000000000001,English             ,"Penelope Guiness, Jennifer Davis, Grace Mostel, Julia Barrymore, Christopher Berry, Ed Mansfield, Nick Degeneres, Laurence Bullock, Renee Ball"
28,26,Annie Identity,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,1,3,0.99,86,15.99,G,"['Commentaries', 'Deleted Scenes']",'abandon':20 'amaz':4 'amus':21 'anni':1 'boat':12 'chef':9 'escap':15 'ident':2 'must':14 'panorama':5 'park':22 'pastri':8 'woman':17,Sci-Fi,50.81,English             ,"Adam Grant, Cate Mcqueen, Greta Keitel"
29,27,Anonymous Human,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,2006,1,7,0.99,179,12.99,NC-17,"['Deleted Scenes', 'Behind the Scenes']","'administr':9,18 'amaz':4 'anonym':1 'astronaut':12 'databas':8,17 'human':2 'must':14 'outrac':15 'reflect':5 'shark':21 'tank':22",Sports,17.87,English             ,"Grace Mostel, Fay Kilmer, Jim Mostel, Susan Davis, Whoopi Hurt, Emily Dee, Meryl Gibson, Mena Hopper, Ed Guiness"
30,28,Anthem Luke,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,2006,1,5,4.99,91,16.99,PG-13,"['Deleted Scenes', 'Behind the Scenes']",'abandon':19 'amus':20 'anthem':1 'dog':16 'luke':2 'must':13 'outrac':14 'panorama':5 'park':21 'touch':4 'waitress':8 'woman':11,Comedy,63.89,English             ,"Milla Keitel, Oprah Kilmer"
31,29,Antitrust Tomatoes,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2006,1,5,2.99,168,11.99,NC-17,"['Trailers', 'Commentaries', 'Deleted Scenes']",'administr':17 'ancient':19 'antitrust':1 'databas':16 'fate':4 'feminist':11 'india':20 'must':13 'succumb':14 'tomato':2 'woman':8 'yarn':5,Action,27.93,English             ,"Bette Nicholson, Uma Wood, Sidney Crowe, Salma Nolte, William Hackman, Renee Ball, Reese West"
32,30,Anything Savannah,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,1,4,2.99,82,27.99,R,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",'abandon':20 'anyth':1 'chase':15 'chef':9 'epic':4 'feminist':17 'fun':21 'hous':22 'must':14 'pastri':8 'savannah':2 'stori':5 'woman':12,Horror,43.92,English             ,"Joe Swank, Christopher West, Lisa Monroe"
33,31,Apache Divine,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,1,5,4.99,92,16.99,NC-17,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'apach':1 'awe':5 'awe-inspir':4 'boat':25 'chef':11 'divin':2 'inspir':6 'must':16 'overcom':17 'pastri':10 'reflect':7 'sumo':19 'teacher':14 'u':24 'u-boat':23 'wrestler':20,Family,160.72,English             ,"Nick Wahlberg, Cuba Olivier, Anne Cronyn, Henry Berry"
34,32,Apocalypse Flamingos,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,2006,1,6,4.99,119,11.99,R,"['Trailers', 'Commentaries']",'abandon':19 'amus':20 'apocalyps':1 'astound':4 'defeat':14 'dog':8 'flamingo':2 'must':13 'park':21 'squirrel':11 'stori':5 'woman':16,New,24.950000000000003,English             ,"Mae Hoffman, Vivien Basinger, Oprah Kilmer, Will Wilson, Russell Close"
35,34,Arabia Dogma,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,2006,1,6,0.99,62,29.99,NC-17,"['Commentaries', 'Deleted Scenes']",'arabia':1 'cow':12 'defeat':15 'dogma':2 'epistl':5 'mad':11 'madman':8 'must':14 'nigeria':19 'student':17 'touch':4,Horror,21.880000000000003,English             ,"Karl Berry, Rip Crawford, Julia Mcqueen, Johnny Cage, Jude Cruise, Sean Williams, Burt Posey, Walter Torn, Russell Bacall, Frances Tomei, Greta Malden, Lisa Monroe"
36,35,Arachnophobia Rollercoaster,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,2006,1,4,2.99,147,24.99,PG-13,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",'action':5 'action-pack':4 'arachnophobia':1 'chef':11 'compos':14 'discov':17 'first':23 'mad':19 'man':24 'must':16 'pack':6 'pastri':10 'reflect':7 'rollercoast':2 'scientist':20 'space':25 'station':26,Horror,109.77000000000001,English             ,"Grace Mostel, Judy Dean, Daryl Wahlberg, Morgan Hopkins, Cuba Allen, Rita Reynolds, Ewan Gooding, Humphrey Garland"
37,37,Arizona Bang,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,2006,1,3,2.99,121,28.99,PG,"['Trailers', 'Deleted Scenes']","'arizona':1 'bang':2 'brilliant':4 'cow':13 'mad':8,12 'meet':16 'monasteri':21 'must':15 'panorama':5 'pioneer':18 'scientist':9",Classics,104.79,English             ,"Karl Berry, Ray Johansson, Russell Bacall, Greta Keitel"
38,39,Armageddon Lost,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,2006,1,5,0.99,99,10.99,G,['Trailers'],'abandon':21 'armageddon':1 'boat':10 'compos':18 'fast':5 'fast-pac':4 'lost':2 'mine':22 'must':15 'pace':6 'shaft':23 'succumb':16 'tale':7 'teacher':13,Sci-Fi,41.800000000000004,English             ,"Angela Hudson, James Pitt, Penelope Cronyn, Cuba Allen, Kim Allen, Gene Mckellen, Gregory Gooding"
39,40,Army Flintstones,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,1,4,0.99,148,22.99,R,"['Trailers', 'Commentaries']",'administr':9 'armi':1 'battl':15 'bore':4 'databas':8 'flintston':2 'must':14 'nigeria':19 'saga':5 'waitress':17 'woman':12,Documentary,36.86,English             ,"Ed Chase, Cary Mcconaughey, Mae Hoffman, Gene Willis, Penelope Cronyn, Matthew Carrey, Russell Close"
40,42,Artist Coldblooded,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,2006,1,5,2.99,170,10.99,NC-17,"['Trailers', 'Behind the Scenes']",'artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16,Sports,59.86,English             ,"Ed Chase, Sandra Kilmer, Kirk Jovovich, Jayne Neeson, Sidney Crowe, Renee Tracy, Meryl Allen"
41,265,Dying Maker,A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California,2006,1,5,4.99,168,28.99,PG,['Behind the Scenes'],'boat':8 'california':18 'cat':16 'die':1 'intrepid':4 'kill':14 'maker':2 'monkey':11 'must':13 'tale':5,Comedy,83.85000000000001,English             ,"Groucho Sinatra, Michael Bolger"
42,43,Atlantis Cause,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,1,6,2.99,170,15.99,G,['Behind the Scenes'],'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5,Family,75.79,English             ,"Woody Hoffman, Audrey Olivier, Julianne Dench, Frances Tomei, Greta Keitel, Cate Harris, Chris Depp, Harvey Hope, Cuba Birch"
43,44,Attacks Hate,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,2006,1,5,4.99,113,21.99,PG-13,"['Trailers', 'Behind the Scenes']",'abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11,Sci-Fi,101.84,English             ,"Dan Torn, Milla Keitel, Groucho Dunst, Burt Temple"
44,45,Attraction Newton,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,2006,1,5,4.99,83,14.99,PG-13,"['Trailers', 'Behind the Scenes']",'ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14,New,133.78,English             ,"Uma Wood, Rip Winslet, Gary Penn, Christopher West"
45,46,Autumn Crow,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,1,3,4.99,108,13.99,G,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5,Games,74.9,English             ,"Dustin Tautou, Angela Hudson, James Pitt"
46,47,Baby Hall,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006,1,5,4.99,153,23.99,NC-17,['Commentaries'],'abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6,Foreign,40.93,English             ,"Nick Wahlberg, Matthew Johansson, Charlize Dench, Daryl Wahlberg, Kevin Garland, River Dean, Minnie Kilmer, Vivien Basinger"
47,48,Backlash Undefeated,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,2006,1,3,4.99,118,24.99,PG-13,"['Trailers', 'Behind the Scenes']","'backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2",Children,140.84,English             ,"Christian Akroyd, Spencer Peck, Christopher Berry, Sylvester Dern, Dan Streep, Kevin Garland, Jane Jackman"
48,49,Badman Dawn,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,2006,1,6,2.99,162,22.99,R,"['Trailers', 'Commentaries', 'Behind the Scenes']",'badman':1 'boat':21 'compos':11 'dawn':2 'emot':4 'escap':14 'jet':20 'mad':16 'must':13 'panorama':5 'pioneer':8 'scientist':17,Sci-Fi,76.79,English             ,"Ben Willis, Harrison Bale, Cuba Allen, Warren Jackman, Greta Keitel, Olympia Pfeiffer, Alan Dreyfuss, Thora Temple"
49,50,Baked Cleopatra,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,2006,1,3,2.99,182,20.99,G,"['Commentaries', 'Behind the Scenes']",'bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17,Family,76.85000000000001,English             ,Michelle Mcconaughey
50,126,Casualties Encino,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,2006,1,3,4.99,179,16.99,G,['Trailers'],'boy':18 'casualti':1 'chef':13 'encino':2 'face':16 'insight':4 'monasteri':21 'must':15 'pastri':12 'shark':9 'yarn':5,Action,61.92,English             ,"Cameron Streep, Mena Temple, Daryl Wahlberg, Groucho Dunst, Susan Davis"
51,51,Balloon Homeward,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,2006,1,5,2.99,75,10.99,NC-17,['Deleted Scenes'],"'balloon':1 'build':16 'cow':13 'first':22 'forens':8 'homeward':2 'insight':4 'mad':12,18 'man':23 'must':15 'panorama':5 'psychologist':9 'scientist':19 'space':24 'station':25",Music,91.78,English             ,"Parker Goldberg, Mena Temple, Gary Penn, Richard Penn, Renee Ball, Rock Dukakis"
52,52,Ballroom Mockingbird,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,2006,1,6,0.99,173,29.99,G,"['Commentaries', 'Deleted Scenes']",'ballroom':1 'california':18 'compos':8 'documentari':5 'feminist':16 'find':14 'mockingbird':2 'monkey':11 'must':13 'thrill':4,Foreign,9.93,English             ,"Judy Dean, Adam Grant, Ben Willis, Daryl Wahlberg, Harrison Bale, Lucille Dee, Gene Mckellen"
53,53,Bang Kwai,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,2006,1,5,2.99,87,25.99,NC-17,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'abandon':20 'amus':21 'bang':1 'cat':11 'drama':5 'epic':4 'face':14 'kwai':2 'madman':8 'must':13 'park':22 'shark':17,Family,22.93,English             ,"Bette Nicholson, Sandra Peck, Julia Barrymore, Michelle Mcconaughey, Walter Torn, Russell Temple, Fay Wood"
54,54,Banger Pinocchio,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,1,5,0.99,113,15.99,R,"['Trailers', 'Commentaries', 'Deleted Scenes']",'awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25,Music,40.800000000000004,English             ,"Johnny Lollobrigida, Lucille Tracy, Dustin Tautou, Jayne Neeson, Gene Willis, Audrey Bailey"
55,55,Barbarella Streetcar,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,2006,1,6,2.99,65,27.99,G,['Behind the Scenes'],'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2,Sci-Fi,84.78,English             ,"Mary Tandy, Cuba Allen, Nick Degeneres, Alan Dreyfuss, Gene Mckellen"
56,56,Barefoot Manchurian,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,1,6,2.99,129,15.99,G,"['Trailers', 'Commentaries']",'abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14,Action,59.830000000000005,English             ,"Jennifer Davis, Elvis Marx, Milla Peck, Kirk Jovovich, Daryl Crawford, Ed Mansfield, Morgan Williams, Will Wilson"
57,57,Basic Easy,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,2006,1,4,2.99,90,18.99,PG-13,['Deleted Scenes'],'basic':1 'boat':21 'easi':2 'epistl':5 'husband':11 'jet':20 'mad':16 'man':8 'must':13 'reach':14 'scientist':17 'stun':4,Travel,87.80000000000001,English             ,"Jessica Bailey, Penelope Monroe, Greta Keitel, Ewan Gooding, Emily Dee, Groucho Williams"
58,58,Beach Heartbreakers,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,2006,1,6,2.99,122,16.99,G,"['Deleted Scenes', 'Behind the Scenes']",'beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8,Documentary,55.86,English             ,"Woody Hoffman, Nick Stallone, Mena Temple, Ben Willis, Gene Willis, Frances Tomei, Harvey Hope"
